,title, salary, cop_name, cop_info, exprence, tags, welfare
0, Shanghai Xuhui District Xujiahui, 15-25K, Micro Technology, Internet A round 20-99 people, 3-5 years undergraduate, C/C++," Year-end bonus, five social insurances and one housing fund, regular physical examination, holiday benefits, employee travel, paid annual leave, stock options, supplementary medical insurance, afternoon tea with snacks"
1, Shanghai Pudong New Area Lujiazui, 16-25K, About He Network Technology, Computer software does not require financing for 100-499 people, 3-5 years undergraduate, network programming,
2, Dalian, 10-15K, Sibaiyi, Computer software does not require financing for 500-999 people, 1-3 years of education is not limited, MongoDB," Overtime allowance, paid annual leave, transportation allowance, regular physical examination, holiday benefits, year-end bonus, supplementary medical insurance, five social insurances and one housing fund"
3," Beijing, Haidian District, Northwest Wang", 20-35K 15 salary, Poplar era, Data services do not require financing for 100-499 people, 3-5 years undergraduate, Go,"Housing subsidy, supplementary medical insurance, five social insurances and one housing fund, year-end bonus, paid annual leave, overtime allowance, afternoon tea with snacks, stock options, holiday benefits, regular physical examination, employee travel"
4, Shanghai·Yangpu District·Yanji, 50-60K 18 salary, Le fashion, E-commerce unfinanced 0-20 people, 3-5 years undergraduate, data structure," Overtime allowance, snack afternoon tea, employee travel, five insurances and one housing fund, paid annual leave, stock options, holiday benefits, meal allowance, communication allowance, full attendance bonus, year-end bonus"
5, Xi'an Yanta District High-tech Software Park, 15-30K, Xi'an Huawei," Communication/network equipment unfinanced for more than 10,000 people", Unlimited undergraduate experience, Python," Regular physical examination, employee travel, five insurances and one housing fund, holiday benefits, overtime allowance, year-end bonus, supplementary medical insurance, stock options"
6, Shanghai, 15-20K 13 salary, Shanghai Zhuoyou Computer Technology, Communication/Network Equipment 20-99 people, 1-3 years undergraduate, SQL," Communication subsidy, transportation subsidy, five insurances and one housing fund, paid annual leave, regular physical examination, holiday benefits, year-end bonus, overtime allowance, employee travel"
7,Hangzhou·West Lake District·Huanglong, 15-30K 14 salary," Xiamen Lingsheng Software Co., Ltd.", Computer software has been listed 1000-9999 people, 1-3 years undergraduate, c++," Year-end bonus, paid annual leave, afternoon tea with snacks, regular physical examination, stock options, employee club, employee travel, six insurances and one housing fund, holiday benefits, free shuttle"
8, Hefei·Shushan District·High-tech Zone, 18-25K, Six-wire speed cloud, Internet unfinanced 20-99 people, 1-3 years college, QT," Afternoon tea with snacks, holiday benefits, overtime allowance, year-end bonus, five social insurances and one housing fund"
9, Chengdu·Wuhou District·Shiyangchang, 14-20K, Myth Information, Mobile Internet does not require financing for 500-999 people, 3-5 years junior college, c++," Five insurances and one housing fund, communication subsidy, regular physical examination, paid annual leave, afternoon tea with snacks"
